Table 1
MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Zip or Postal Code,Location,Missing,Link,First Published,Last Update
49819,,Woodneath,,Clay County Historical Society Historic Landmark,,Clay County Historical Society,39.25357,-94.46538,8900 North Flintlock Road,Kansas City,Woodneath,Clay County,Missouri,64068,"It is on Flintlock Road 0.4 miles north of Missouri Highway 152, on the right when traveling south.",,https://www.hmdb.org/m.asp?m=49819,12/6/2011,2/11/2023
58406,,Charles B. Wheeler Downtown Airport,,,2002,City of Kansas City,39.12035,-94.59028,250 Richards Rd,Kansas City,Wheeler Downtown Airport,Clay County,Missouri,64116,It can be reached from Richards Road. ,,https://www.hmdb.org/m.asp?m=58406,8/13/2012,2/11/2023
58407,,Lou E. Holland,The Father of Kansas City Aviation,1878 - 1960,,Aero Club of Kansas City,39.12024,-94.59009,300 NW Richards Road,Kansas City,Wheeler Downtown Airport,Clay County,Missouri,64116,It can be reached from Richards Road. ,,https://www.hmdb.org/m.asp?m=58407,8/13/2012,2/11/2023
59638,,James Farm,,,1976,Clay County Historical Society,39.39294,-94.32146,21216 Jesse James Farm Road,Kearney,,Clay County,Missouri,64060,It can be reached from Jesse James Farm Road. ,,https://www.hmdb.org/m.asp?m=59638,9/22/2012,10/26/2025
67770,,The Lewis and Clark Expedition Across Missouri,,,,"Missouri Dept of Natural Resources, National Park Service, Missouri Lewis and Clark Bicentennial Commission, and City of North Kansas City",39.12651,-94.58025,,North Kansas City,,Clay County,Missouri,64116,"It is at the intersection of Burlington Street (Missouri Route 9) and 10th Street, on the left when traveling south on Burlington Street.",,https://www.hmdb.org/m.asp?m=67770,8/16/2013,4/28/2022
68105,,Confederate Soldiers,,,1904,the Citizens of Clay County,39.24300,-94.42423,,Liberty,,Clay County,Missouri,64068,"It is on Shrader Street west of Gallatin Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=68105,8/25/2013,9/12/2022
68106,,General Alexander William Doniphan,,,,the Doniphan Family,39.24249,-94.42415,,Liberty,,Clay County,Missouri,64068,"It is on Shrader Street east of Gallatin Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=68106,8/25/2013,4/26/2022
68107,,Col. John Thornton,,,,the Thornton Family,39.24239,-94.42320,,Liberty,,Clay County,Missouri,64068,"It is on Shrader Street east of Gallatin Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=68107,8/26/2013,4/28/2022
68110,,Lucy A. Ward Love,"Born Mass., 1813","Died Mo., 1891",,the Thompson/Love Family,39.24281,-94.42285,,Liberty,,Clay County,Missouri,64068,"It is on Shrader Street east of Gallatin Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=68110,8/26/2013,5/13/2026
68126,,World War Memorial,Lest We Forget,,,,39.24648,-94.42019,101 East Kansas Street,Liberty,,Clay County,Missouri,64068,"It is at the intersection of Main Street and Kansas Street, on the right when traveling north on Main Street. ",,https://www.hmdb.org/m.asp?m=68126,8/26/2013,4/27/2022
68127,,16 North Main Street,,,,,39.24656,-94.42047,16 North Main Street,Liberty,,Clay County,Missouri,64068,"It is on Main Street south of Franklin Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=68127,8/26/2013,12/23/2025
68128,,Clay County Historical Museum,Clay County Historical Society Historic Landmark,,1976,Clay County Historical Society and Council of Camp Fire Girls District 5,39.24650,-94.42047,14 North Main Street,Liberty,,Clay County,Missouri,64068,"It is on Main Street south of Franklin Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=68128,8/26/2013,12/23/2025
68129,,12 North Main Street,,,,,39.24644,-94.42047,12 North Main Street,Liberty,,Clay County,Missouri,64068,"It is on Main Street south of Franklin Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=68129,8/26/2013,12/23/2025
68130,,First National Bank,,,,,39.24600,-94.42047,2 South Main Street,Liberty,,Clay County,Missouri,64068,"It is at the intersection of Main Street and Kansas Street, on the right when traveling south on Main Street. ",,https://www.hmdb.org/m.asp?m=68130,8/26/2013,12/23/2025
68153,,1 East Kansas Street,,South Liberty Courthouse Square Historic District,,,39.24599,-94.42015,1 East Kansas Street,Liberty,,Clay County,Missouri,64068,"It is at the intersection of Kansas Street and Main Street, on the right when traveling east on Kansas Street. ",,https://www.hmdb.org/m.asp?m=68153,8/27/2013,3/3/2026
68155,,Boggess Hardware Store,Clay County Historical Society Historic Landmark,,1976,Clay County Historical Society,39.24599,-94.42015,5 East Kansas Street,Liberty,,Clay County,Missouri,64068,"It is at the intersection of Kansas Street and Main Street, on the right when traveling east on Kansas Street. ",,https://www.hmdb.org/m.asp?m=68155,8/27/2013,12/23/2025
68157,,7 East Kansas Street,,,,,39.24599,-94.42007,7 East Kansas Street,Liberty,,Clay County,Missouri,64068,"It is on Kansas Street east of Main Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=68157,8/27/2013,12/23/2025
68186,,Clay County Courthouse,,,,,39.24635,-94.41992,10 East Kansas Street,Liberty,,Clay County,Missouri,64068,"It is at the intersection of Kansas Street and Main Street, on the left when traveling east on Kansas Street. ",,https://www.hmdb.org/m.asp?m=68186,8/28/2013,12/23/2025
68187,,9 East Kansas Street,,,,,39.24600,-94.41991,9 East Kansas Street,Liberty,,Clay County,Missouri,64068,"It is on Kansas Street east of Main Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=68187,8/28/2013,12/23/2025
68188,,11 East Kansas Street,,,,,39.24600,-94.41987,11 East Kansas Street,Liberty,,Clay County,Missouri,64068,"It is on Kansas Street east of Main Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=68188,8/28/2013,12/23/2025
68189,,15 East Kansas Street,,,,,39.24600,-94.41977,15 East Kansas Street,Liberty,,Clay County,Missouri,64068,"It is on Kansas Street east of Main Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=68189,8/28/2013,12/23/2025
68190,,17 East Kansas Street,,,,,39.24600,-94.41951,17 East Kansas Street,Liberty,,Clay County,Missouri,64068,"It is at the intersection of Kansas Street and Water Street, on the right when traveling east on Kansas Street. ",,https://www.hmdb.org/m.asp?m=68190,8/28/2013,12/23/2025
68207,,Clay County African American Pioneers,,,,Clay County African American Legacy Consortium,39.24666,-94.41965,10 East Kansas Street,Liberty,,Clay County,Missouri,64068,"It is at the intersection of Franklin Street and Water Street, on the left when traveling west on Franklin Street. ",,https://www.hmdb.org/m.asp?m=68207,8/29/2013,6/3/2022
68209,,Site of First Daylight Bank Hold Up in United States,,,1958,Liberty Chamber of Commerce,39.24690,-94.41928,103 North Water Street,Liberty,,Clay County,Missouri,64068,"It is at the intersection of Water Street and Franklin Street, on the right when traveling north on Water Street. ",,https://www.hmdb.org/m.asp?m=68209,8/29/2013,12/22/2025
68210,,Jesse James Bank Museum,Clay County Historical Society Historical Landmark,,1976,Clay County Historical Society and Clay County Area Retired Teachers Association,39.24701,-94.41932,103 North Water Street,Liberty,,Clay County,Missouri,64068,"It is on Water Street north of Franklin Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=68210,8/29/2013,12/22/2025
68211,,Liberty Lodge No. 49 I.O.O.F.,,,,,39.24713,-94.41952,108 North Water Street,Liberty,,Clay County,Missouri,64068,"It is on Water Street north of Franklin Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=68211,8/29/2013,12/22/2025
68212,,Liberty Tribune,Clay County Historical Society,Historic Landmark,1976,Clay County Historical Society,39.24702,-94.42046,104 North Main Street,Liberty,,Clay County,Missouri,64068,"It is on Main Street north of Franklin Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=68212,8/30/2013,4/27/2022
68235,,Frank Hughes Memorial Library,,,,,39.24695,-94.41785,210 E. Franklin Street,Liberty,,Clay County,Missouri,64068,"It is at the intersection of Franklin Street and Leonard Street, on the left when traveling east on Franklin Street. ",,https://www.hmdb.org/m.asp?m=68235,8/30/2013,12/22/2025
68239,,Goldman-Duckworth House,Clay County Historical Society Historic Landmark,,1976,Clay County Historical Society,39.24826,-94.41777,214 East Mississippi Street,Liberty,,Clay County,Missouri,64068,"It is at the intersection of Mississippi Street and Leonard Street, on the left when traveling east on Mississippi Street. ",,https://www.hmdb.org/m.asp?m=68239,8/30/2013,8/30/2013
68240,,St. Luke A.M.E. Church,Clay County Historical Society,Historic Landmark,,Clay County Historical Society,39.25110,-94.42022,443 North Main Street,Liberty,,Clay County,Missouri,64068,"It is on Main Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=68240,8/30/2013,12/18/2025
68241,,Liberty Presbyterian Church,Clay County Historical Society,Historic Landmark,1976,Clay County Historical Society,39.24797,-94.42048,138 North Main Street,Liberty,,Clay County,Missouri,64068,"It is at the intersection of Main Street and Mississippi Street, on the right when traveling north on Main Street. ",,https://www.hmdb.org/m.asp?m=68241,8/30/2013,12/16/2020
68243,,Alexander W. Doniphan,1808 - 1887,"Lawyer, Statesman and Military Leader",,Missouri Mormon Frontier Foundation,39.24760,-94.42025,,Liberty,,Clay County,Missouri,64068,"It is on Main Street north of Franklin Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=68243,8/30/2013,3/5/2023
68244,,Kansas City to Liberty to Excelsior Springs Interurban Depot,,,,,39.24458,-94.41707,,Liberty,,Clay County,Missouri,64068,"It is at the intersection of Mill Street (Missouri Route H) and Leonard Street ( Route 33), on the right when traveling east on Mill Street.",,https://www.hmdb.org/m.asp?m=68244,8/30/2013,4/28/2022
68263,,"""The Old Graveyard""","""Mt. Memorial Cemetery""",,,Native Sons and Daughters of Greater Kansas City,39.24945,-94.41259,,Liberty,,Clay County,Missouri,64068,"It is at the intersection of Miller Avenue and William Jewell College Drive, on the right when traveling west on Miller Avenue. ",,https://www.hmdb.org/m.asp?m=68263,8/31/2013,3/3/2026
68266,,Grand River Baptist Church,"Organized December 14, 1833",,,,39.24854,-94.41302,,Liberty,,Clay County,Missouri,64068,"It is on Mississippi Street east of Jewell Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=68266,8/31/2013,8/7/2025
68269,,John Dougherty,,,,,39.24554,-94.41900,11 South Water Street,Liberty,,Clay County,Missouri,64068,"It is on Water Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=68269,8/31/2013,3/5/2014
68270,,Clay County American Revolution Veterans,,,1996,William C. Corum Chapter SAR and Alexander Doniphan Chapter Daughters of the American Revolution (DAR),39.24535,-94.41919,11 South Water Street,Liberty,,Clay County,Missouri,64068,It can be reached from South Water Street. ,,https://www.hmdb.org/m.asp?m=68270,9/1/2013,5/9/2023
68275,,Jurisprudence,,,,,39.24532,-94.41923,11 South Water Street,Liberty,,Clay County,Missouri,64068,It can be reached from South Water Street. ,,https://www.hmdb.org/m.asp?m=68275,9/1/2013,9/1/2013
68309,,Lewis and Clark Mural,"Dedicated June 24, 2005",Artist: David McClain,2005,Clay County Fine Arts Council and Clay County Commissioners,39.24487,-94.41954,,Liberty,,Clay County,Missouri,64068,"It is at the intersection of Water Street and Mill Street, on the left when traveling north on Water Street. ",,https://www.hmdb.org/m.asp?m=68309,9/1/2013,8/9/2025
68310,,First Court House Site,Clay County Historical Society Historic Landmark,,1976,Clay County Historical Society,39.24533,-94.41954,,Liberty,,Clay County,Missouri,64068,"It is on Water Street north of Mill Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=68310,9/1/2013,9/1/2013
68311,,Scales and Rails,,,,,39.24538,-94.41953,,Liberty,,Clay County,Missouri,64068,"It is on Water Street north of Mill Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=68311,9/1/2013,12/22/2025
68312,,War Memorial,(Left: Anguish and Right: Serenity),,,,39.24546,-94.41954,,Liberty,,Clay County,Missouri,64068,"It is on Water Street north of Mill Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=68312,9/1/2013,12/16/2020
68314,,Intelligencia,,,,,39.24555,-94.41956,,Liberty,,Clay County,Missouri,64068,"It is on Water Street north of Mill Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=68314,9/2/2013,1/24/2021
68321,,Sacred Waters,,,,,39.24558,-94.41956,,Liberty,,Clay County,Missouri,64068,"It is on Water Street north of Mill Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=68321,9/2/2013,2/26/2024
68322,,Suburban Archways,,,,,39.24561,-94.41957,,Liberty,,Clay County,Missouri,64068,"It is on Water Street north of Mill Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=68322,9/2/2013,10/26/2023
68365,,"Passing Pleasures, Tourist Treasures",,,,,39.24566,-94.41958,,Liberty,,Clay County,Missouri,64068,"It is on Water Street north of Mill Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=68365,9/3/2013,12/23/2025
68366,,Faces of the Commonwealth,,,,,39.24570,-94.41954,,Liberty,,Clay County,Missouri,64068,"It is on Water Street north of Mill Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=68366,9/3/2013,9/3/2013
68373,,Founding Fathers,,,,,39.24534,-94.41903,11 South Water Street,Liberty,,Clay County,Missouri,64068,It can be reached from South Water Street. ,,https://www.hmdb.org/m.asp?m=68373,9/3/2013,12/27/2025
68453,,Veterans Memorial,,,1989,Clay Countians and Friends,39.24595,-94.41933,11 South Water Street,Liberty,,Clay County,Missouri,64068,"It is on Water Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=68453,9/7/2013,12/16/2020
68481,,Replica of the Statue of Liberty,,,1950,Boy Scouts of America,39.24457,-94.42208,201 West Mill Street,Liberty,,Clay County,Missouri,64068,"It is at the intersection of Mill Street and Prairie Street, on the left when traveling west on Mill Street. ",,https://www.hmdb.org/m.asp?m=68481,9/8/2013,4/25/2025
73534,,Curran Park,,,2004,"the Historical Society of North Kansas City, the City of North Kansas City, and The Native Sons of Greater Kansas City",39.14011,-94.57745,,North Kansas City,,Clay County,Missouri,64116,"It is at the intersection of Swift Avenue and 18th Avenue, on the right when traveling south on Swift Avenue.",,https://www.hmdb.org/m.asp?m=73534,5/8/2014,5/2/2025
73540,,Replica of the Statue of Liberty,,,1950,the Boy Scouts of America,39.14561,-94.57240,,North Kansas City,,Clay County,Missouri,64116,"It is at the intersection of Iron Street and 23rd Avenue, on the left when traveling north on Iron Street.",,https://www.hmdb.org/m.asp?m=73540,5/8/2014,5/19/2025
73561,,War Memorial,,,,American War Dads,39.14547,-94.57237,,North Kansas City,,Clay County,Missouri,64116,"It is at the intersection of 23rd Avenue and Iron Street, on the left when traveling east on 23rd Avenue.",,https://www.hmdb.org/m.asp?m=73561,5/9/2014,12/16/2020
73566,,War Memorial,,,,,39.14550,-94.57238,,North Kansas City,,Clay County,Missouri,64116,"It is at the intersection of 23rd Avenue and Iron Street, on the left when traveling east on 23rd Avenue.",,https://www.hmdb.org/m.asp?m=73566,5/9/2014,12/16/2020
80964,,Bell-Pharis House,— Clay County Historical Society Historic Landmark —,,1976,Clay County Historical Society,39.25018,-94.32953,20611 EE Highway,Liberty,,Clay County,Missouri,64068,It can be reached from Missouri State Highway EE (Missouri Route EE) ½ mile south of Missouri Highway H. ,,https://www.hmdb.org/m.asp?m=80964,2/25/2015,7/22/2015
81735,,Doniphan – Hubbell House,,,,,39.24766,-94.42040,192 North Main,Liberty,,Clay County,Missouri,64068,"It is on Main Street 0.1 miles south of East Mississippi Street, on the right when traveling south.",,https://www.hmdb.org/m.asp?m=81735,3/19/2015,3/19/2015
81749,,Liberty,,,1953,State Historical Society of Missouri and State Highway Commission,39.24648,-94.41959,10 East Kansas Street,Liberty,,Clay County,Missouri,64068,"It is on Water Street north of Kansas Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=81749,3/19/2015,12/16/2020
86636,,Antioch Church,,,2003,Native Sons and Daughters of Greater Kansas City,39.18106,-94.54879,4805 NE Antioch Road,Kansas City,Antioch Acres,Clay County,Missouri,64119,"It is at the intersection of NE Antioch Road (Missouri Route 1) and NE 48th Street, on the right when traveling north on NE Antioch Road.",,https://www.hmdb.org/m.asp?m=86636,8/2/2015,2/10/2023
86639,,Antioch Church,Clay County Historic Landmark,,1976,Clay County Historical Society,39.18109,-94.54855,4805 NE Antioch Road,Kansas City,Antioch Acres,Clay County,Missouri,64119,"It is at the intersection of NE Antioch Road (Missouri Route 1) and NE 48th Street, on the right when traveling north on NE Antioch Road.",,https://www.hmdb.org/m.asp?m=86639,8/2/2015,2/10/2023
86640,,Antioch Church,,,,Antioch Community Church Historical Society,39.18116,-94.54855,4805 NE Antioch Road,Kansas City,Antioch Acres,Clay County,Missouri,64119,"It is at the intersection of NE Antioch Road (Missouri Route 1) and NE 48th Street, on the right when traveling north on NE Antioch Road.",,https://www.hmdb.org/m.asp?m=86640,8/2/2015,2/10/2023
90343,,Liberty Mormon Jail,Clay County Historical Society,Historic Landmark,,Clay County Historical Society,39.24853,-94.42045,216 North Main Street,Liberty,,Clay County,Missouri,64068,"It is at the intersection of Main Street and West Mississippi Street, on the left when traveling north on Main Street. ",,https://www.hmdb.org/m.asp?m=90343,11/10/2015,4/14/2023
90755,,Hall of Waters,,,1976,,39.34177,-94.22256,201 East Broadway,Excelsior Springs,,Clay County,Missouri,64024,"It is at the intersection of Main Street and Spring Street, on the left when traveling south on Main Street. ",,https://www.hmdb.org/m.asp?m=90755,11/19/2015,12/13/2025
140837,,Crowley Cemetery,Clay County Historic Landmark,,1976,Clay County Historical Society,39.18049,-94.49028,7534 Northeast 48th Street,Kansas City,Gracemor-Randolph Corners,Clay County,Missouri,64161,"It is on Northeast 48th Street 0.3 miles east of Worlds of Fun Avenue, on the right when traveling east.",,https://www.hmdb.org/m.asp?m=140837,10/10/2019,2/10/2023
152619,,John Priest Greene President's Home,Clay County Historic Landmark,,,Clay County Historical Society,39.24889,-94.41361,,Liberty,,Clay County,Missouri,64068,It can be reached from Miller Avenue 0 miles east of North Jewell Street.,,https://www.hmdb.org/m.asp?m=152619,7/13/2020,7/13/2020
162679,,Hall of Waters,Clay County Historical Society,Historic Landmark,,,39.34181,-94.22254,201 E Broadway Ave,Excelsior Springs,,Clay County,Missouri,64024,"It is at the intersection of South Main Street and Spring Street, on the right when traveling north on South Main Street. ",,https://www.hmdb.org/m.asp?m=162679,12/16/2020,12/16/2020
245169,,Interurban Railway Bridge,,[Westboro-Canterbury Greenway Trail],2024,Liberty Parks and Recreation Department,39.22913,-94.44332,1456 S Withers Rd,Liberty,,Clay County,Missouri,64068,"It can be reached from Park Lane south of Broadmore Lane, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=245169,4/21/2024,4/21/2024
245220,,Interurban Railroad - Withers Station,,[Westboro-Canterbury Greenway Trail],2024,,39.23292,-94.43710,1010 S Withers Rd,Liberty,,Clay County,Missouri,64068,"It is on South Withers Road 0.1 miles south of Owens Drive, on the right when traveling south.",,https://www.hmdb.org/m.asp?m=245220,4/24/2024,11/22/2024
245595,,Battle of Liberty / Blue Mills Landing,,,2020,"the Alexander Doniphan Chapter, NSDAR",39.21581,-94.40863,,Liberty,,Clay County,Missouri,64068,"It is at the intersection of Southview Drive and Ruth Ewing Road, on the left when traveling south on Southview Drive. ",,https://www.hmdb.org/m.asp?m=245595,4/27/2024,11/22/2024
252107,25,Old Pike Road / Ferry Boat Operators at Kawsmouth,,,2001,Native Sons of Kansas City,39.18678,-94.58436,,Gladstone,,Clay County,Missouri,64118,"It is at the intersection of Northwest Old Pike Road and Northwest 51st Street, on the right when traveling south on Northwest Old Pike Road.",,https://www.hmdb.org/m.asp?m=252107,7/23/2024,7/27/2024
252135,,Atkins-Johnson Farmhouse,,,2010,"William Boydston Chapter, National Society of Daughters of the American Revolution",39.21284,-94.53143,4109 NE Pleasant Valley Rd,Gladstone,,Clay County,Missouri,64119,"It can be reached from Northeast Pleasant Valley Road east of Northeast Antioch Road, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=252135,7/23/2024,7/23/2024
252136,,Atkins-Johnson House,Clay County Historical Society Historic Landmark,,,Clay County Historical Society,39.21283,-94.53143,4109 NE Pleasant Valley Rd,Gladstone,,Clay County,Missouri,64119,"It can be reached from Northeast Pleasant Valley Road east of Northeast Antioch Road, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=252136,7/24/2024,7/24/2024
252138,36,Atkins-Johnson Farm,,,2010,The Native Sons and Daughters of Greater Kansas City,39.21279,-94.53126,4109 NE Pleasant Valley Rd,Gladstone,,Clay County,Missouri,64119,"It can be reached from Northeast Pleasant Valley Road east of Northeast Antioch Road, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=252138,7/24/2024,7/24/2024
252139,24,"Historic Linden, Missouri",,,2001,Native Sons of Kansas City,39.22006,-94.56928,6905 N Campbell St,Gladstone,,Clay County,Missouri,64118,"It is at the intersection of North Campbell Street and Northeast 69th Street, on the right when traveling south on North Campbell Street.",,https://www.hmdb.org/m.asp?m=252139,7/24/2024,7/24/2024
252142,49,Old Western Border of the United States,,,2018,The Native Sons and Daughters of Greater Kansas City • Kansas City Parks and Recreation,39.25461,-94.60074,8955 N Platte Purchase Dr,Kansas City,,Clay County,Missouri,64155,"It is on North Platte Purchase Drive 0.1 miles north of Northwest 88th Street, on the right when traveling north.",,https://www.hmdb.org/m.asp?m=252142,7/24/2024,8/15/2024
252168,54,Garrison School,,,2020,"The Native Sons and Daughters of Greater Kansas City • The City of Liberty • Clay County African American Legacy, Inc.",39.25199,-94.42039,502 N Water St,Liberty,,Clay County,Missouri,64068,It is on North Water Street ¼ mile north of East/West Mississippi Street when traveling north. ,,https://www.hmdb.org/m.asp?m=252168,7/24/2024,12/14/2025
252181,38,Liberty Arsenal,,,2012,The Native Sons and Daughters of Greater Kansas City • Clay County Millennium Historical Board,39.20095,-94.40339,5918 Southview Dr,Liberty,,Clay County,Missouri,64068,"It is on Southview Drive south of Seven Hills Road, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=252181,7/24/2024,7/24/2024
272557,,Ruth Stocksdale Park,,,2024,"City of Liberty, MO",39.23333,-94.38861,901 S La Frenz Rd,Liberty,,Clay County,Missouri,64068,"It can be reached from Stocksdale Park Drive east of South La Frenz Road, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=272557,5/14/2025,5/14/2025
273027,,City Park,"Liberty, Missouri",,2024,"Liberty Parks & Rec, City of Liberty",39.23728,-94.42853,970 Hwy 291,Liberty,,Clay County,Missouri,64068,"It is at the intersection of Missouri Route 291 and Kent Street, on the right when traveling west on Missouri Route 291.",,https://www.hmdb.org/m.asp?m=273027,5/21/2025,5/21/2025
273111,,China Slaughter Reading Park,,,2018,Liberty Arts Foundation & Liberty Public School District; plaque donated by the LHS Class of 1964,39.24486,-94.42149,14 W Mill St,Liberty,,Clay County,Missouri,64068,"It is at the intersection of West Mill Street and Gallatin Street, on the right when traveling west on West Mill Street. ",,https://www.hmdb.org/m.asp?m=273111,5/22/2025,5/22/2025
273127,,Meals On Wheels,Liberty,,2025,"City of Liberty, MO & Meals on Wheels Liberty",39.24932,-94.42292,503 Grover St,Liberty,,Clay County,Missouri,64068,"It is on Grover Street north of West Mississippi Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=273127,5/22/2025,5/22/2025
273128,,"The Liberty, Missouri Juneteenth Legacy",,,2021,"City of Liberty, MO & Clay County African American Legacy, Inc.",39.24987,-94.42346,401 Grover Street,Liberty,,Clay County,Missouri,64068,"It is on Grover Street south of Corbin Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=273128,6/1/2025,6/1/2025
273222,,Ruth Powell Moore,,,2021,"City of Liberty, MO & Clay County African American Legacy, Inc.",39.24987,-94.42346,428 Grover St,Liberty,,Clay County,Missouri,64068,"It is on Grover Street south of Corbin Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=273222,5/23/2025,5/23/2025
273225,,In Memory of Betty Lou & Denny Anderson,,,2022,"City of Liberty, MO & Historic Downtown Liberty, Inc.",39.24994,-94.42352,428 Grover St,Liberty,,Clay County,Missouri,64068,"It is on Grover Street south of Corbin Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=273225,5/23/2025,5/23/2025
273777,1,"Cemeteries, Burials and Fairview",Liberty African American Legacy Memorial,,2022,"Clay County African American Legacy, Inc",39.24150,-94.42253,,Liberty,,Clay County,Missouri,64068,"It is on West Shrader Street west of Gallatin Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=273777,5/28/2025,5/28/2025
